date,Production_Line,Wk_Planned_Gain_Hours,Wk_Planned_HC,Wk_Volume,Shift
10/30/2018,DECO-C24            ,0,10,                    ,1
10/30/2018,DECO-C35            ,0,10,                    ,1
10/30/2018,DECO-C35            ,0,10,                    ,2
10/30/2018,F10MTS-C20          ,0,0,                    ,1
10/30/2018,F10MTS-C20          ,0,8,                    ,2
10/30/2018,F10MTS-C27          ,0,8,                    ,1
10/30/2018,F10MTS-C27          ,0,8,                    ,2
10/30/2018,F40-C23             ,0,8,                    ,2
10/30/2018,F40-C23             ,0,8,                    ,1
10/30/2018,F40-C25             ,0,0,                    ,2
10/30/2018,F40-C25             ,0,8,                    ,1
10/30/2018,F40-C26             ,0,8,                    ,2
10/30/2018,F40-C26             ,0,0,                    ,1
10/30/2018,F40-C32             ,0,0,                    ,2
10/30/2018,F40-C32             ,0,8,                    ,1
10/30/2018,F51-C15             ,0,8,                    ,1
10/30/2018,F51-C15             ,0,8,                    ,2
10/30/2018,F51-C22             ,0,8,                    ,1
10/30/2018,F51-C22             ,0,8,                    ,2
10/30/2018,F51-C30             ,0,8,                    ,1
10/30/2018,F51-C30             ,0,0,                    ,2
10/30/2018,F170-C16            ,0,7,                    ,1
10/30/2018,F170-C16            ,0,4,                    ,2
10/30/2018,FCUST-C28           ,0,0,                    ,2
10/30/2018,FCUST-C28           ,0,5,                    ,1
10/30/2018,FCUST-C29           ,0,0,                    ,2
10/30/2018,FCUST-C29           ,0,3,                    ,1
10/30/2018,FGRIP-C11           ,0,12,                    ,2
10/30/2018,FGRIP-C11           ,0,12,                    ,1
10/30/2018,HIOC-C34            ,0,0,                    ,2
10/30/2018,HIOC-C34            ,0,0,                    ,1
10/30/2018,F10-C19             ,0,8,                    ,1
10/30/2018,F10-C19             ,0,8,                    ,2
10/31/2018,FG-C10              ,0,13,                    ,2
10/31/2018,FG-C10              ,0,13,                    ,1
10/31/2018,FG-C18              ,0,0,                    ,2
10/31/2018,FG-C18              ,0,7,                    ,1
10/31/2018,FG-C188             ,0,0,                    ,2
10/31/2018,FG-C188             ,0,7,                    ,1
10/31/2018,FB-C21              ,0,12,                    ,1
10/31/2018,FB-C21              ,0,12,                    ,2
10/31/2018,BSLCK-C13           ,0,8,                    ,1
10/31/2018,BSLCK-C13           ,0,8,                    ,2
10/31/2018,BSLCK-C17           ,0,8,                    ,1
10/31/2018,BSLCK-C17           ,0,8,                    ,2
10/31/2018,CONNECTC31          ,0,14,                    ,1
10/31/2018,CONNECTC31          ,0,14,                    ,2
10/31/2018,CONTROL-C2          ,0,6,                    ,1
10/31/2018,CONTROL-C2          ,0,8,                    ,2
10/31/2018,NEXIA-C3            ,0,11,                    ,1
10/31/2018,NEXIA-C3            ,0,11,                    ,2
10/31/2018,TOUCH-C12           ,0,13,                    ,1
10/31/2018,TOUCH-C12           ,0,13,                    ,2
10/31/2018,TOUCH-C14           ,0,0,                    ,1
10/31/2018,TOUCH-C14           ,0,13,                    ,2
10/31/2018,ZIGBEE-C38          ,0,12,                    ,1
10/31/2018,ZIGBEE-C38          ,0,12,                    ,2
10/31/2018,KPD-L-C7            ,0,9,                    ,2
10/31/2018,KPD-L-C7            ,0,9,                    ,1
10/31/2018,KPD-L-C8            ,0,9,                    ,2
10/31/2018,KPD-L-C8            ,0,9,                    ,1
10/31/2018,KPL-C4              ,0,11,                    ,1
10/31/2018,KPL-C4              ,0,11,                    ,2
10/31/2018,KPL-C6              ,0,11,                    ,1
10/31/2018,KPL-C6              ,0,11,                    ,2
10/31/2018,SENSE-C9            ,0,12,                    ,1
10/31/2018,SENSE-C9            ,0,12,                    ,2
10/31/2018,DECO-C24            ,0,10,                    ,2
10/31/2018,DECO-C24            ,0,10,                    ,1
10/31/2018,DECO-C35            ,0,10,                    ,1
10/31/2018,DECO-C35            ,0,10,                    ,2
10/31/2018,F10MTS-C20          ,0,0,                    ,1
10/31/2018,F10MTS-C20          ,0,8,                    ,2
10/31/2018,F10MTS-C27          ,0,8,                    ,1
10/31/2018,F10MTS-C27          ,0,8,                    ,2
10/31/2018,F40-C23             ,0,8,                    ,2
10/31/2018,F40-C23             ,0,8,                    ,1
10/31/2018,F40-C25             ,0,0,                    ,2
10/31/2018,F40-C25             ,0,8,                    ,1
10/31/2018,F40-C26             ,0,8,                    ,2
10/31/2018,F40-C26             ,0,0,                    ,1
10/31/2018,F40-C32             ,0,0,                    ,2
10/31/2018,F40-C32             ,0,8,                    ,1
10/31/2018,F51-C15             ,0,8,                    ,1
10/31/2018,F51-C15             ,0,8,                    ,2
10/31/2018,F51-C22             ,0,8,                    ,1
10/31/2018,F51-C22             ,0,8,                    ,2
10/31/2018,F51-C30             ,0,8,                    ,1
10/31/2018,F51-C30             ,0,0,                    ,2
10/31/2018,F170-C16            ,0,7,                    ,1
10/31/2018,F170-C16            ,0,4,                    ,2
10/31/2018,FCUST-C28           ,0,0,                    ,2
10/31/2018,FCUST-C28           ,0,5,                    ,1
10/31/2018,FCUST-C29           ,0,0,                    ,2
10/31/2018,FCUST-C29           ,0,3,                    ,1
10/31/2018,FGRIP-C11           ,0,12,                    ,2
10/31/2018,FGRIP-C11           ,0,12,                    ,1
10/31/2018,HIOC-C34            ,0,0,                    ,2
10/31/2018,HIOC-C34            ,0,0,                    ,1
10/31/2018,F10-C19             ,0,8,                    ,1
10/31/2018,F10-C19             ,0,8,                    ,2
11/1/2018,FG-C10              ,0,13,                    ,2
11/1/2018,FG-C10              ,0,13,                    ,1
11/1/2018,FG-C18              ,0,0,                    ,2
11/1/2018,FG-C18              ,0,7,                    ,1
11/1/2018,FG-C188             ,0,0,                    ,2
11/1/2018,FG-C188             ,0,7,                    ,1
11/1/2018,FB-C21              ,0,12,                    ,1
11/1/2018,FB-C21              ,0,12,                    ,2
11/1/2018,BSLCK-C13           ,0,8,                    ,1
11/1/2018,BSLCK-C13           ,0,8,                    ,2
11/1/2018,BSLCK-C17           ,0,8,                    ,1
11/1/2018,BSLCK-C17           ,0,8,                    ,2
11/1/2018,CONNECTC31          ,0,14,                    ,1
11/1/2018,CONNECTC31          ,0,14,                    ,2
11/1/2018,CONTROL-C2          ,0,6,                    ,1
11/1/2018,CONTROL-C2          ,0,8,                    ,2
11/1/2018,NEXIA-C3            ,0,11,                    ,1
11/1/2018,NEXIA-C3            ,0,11,                    ,2
11/1/2018,TOUCH-C12           ,0,13,                    ,1
11/1/2018,TOUCH-C12           ,0,13,                    ,2
11/1/2018,TOUCH-C14           ,0,0,                    ,1
11/1/2018,TOUCH-C14           ,0,13,                    ,2
11/1/2018,ZIGBEE-C38          ,0,12,                    ,1
11/1/2018,ZIGBEE-C38          ,0,12,                    ,2
11/1/2018,KPD-L-C7            ,0,9,                    ,2
11/1/2018,KPD-L-C7            ,0,9,                    ,1
11/1/2018,KPD-L-C8            ,0,9,                    ,2
11/1/2018,KPD-L-C8            ,0,9,                    ,1
11/1/2018,KPL-C4              ,0,11,                    ,1
11/1/2018,KPL-C4              ,0,11,                    ,2
11/1/2018,KPL-C6              ,0,11,                    ,1
11/1/2018,KPL-C6              ,0,11,                    ,2
11/1/2018,SENSE-C9            ,0,12,                    ,1
11/1/2018,SENSE-C9            ,0,12,                    ,2
11/1/2018,DECO-C24            ,0,10,                    ,2
11/1/2018,DECO-C24            ,0,10,                    ,1
11/1/2018,DECO-C35            ,0,10,                    ,1
11/1/2018,DECO-C35            ,0,10,                    ,2
11/1/2018,F10MTS-C20          ,0,0,                    ,1
11/1/2018,F10MTS-C20          ,0,8,                    ,2
11/1/2018,F10MTS-C27          ,0,8,                    ,1
11/1/2018,F10MTS-C27          ,0,8,                    ,2
11/1/2018,F40-C23             ,0,8,                    ,2
11/1/2018,F40-C23             ,0,8,                    ,1
11/1/2018,F40-C25             ,0,0,                    ,2
11/1/2018,F40-C25             ,0,8,                    ,1
11/1/2018,F40-C26             ,0,8,                    ,2
11/1/2018,F40-C26             ,0,0,                    ,1
11/1/2018,F40-C32             ,0,0,                    ,2
11/1/2018,F40-C32             ,0,8,                    ,1
11/1/2018,F51-C15             ,0,8,                    ,1
11/1/2018,F51-C15             ,0,8,                    ,2
11/1/2018,F51-C22             ,0,8,                    ,1
11/1/2018,F51-C22             ,0,8,                    ,2
11/1/2018,F51-C30             ,0,8,                    ,1
11/1/2018,F51-C30             ,0,0,                    ,2
11/1/2018,F170-C16            ,0,7,                    ,1
11/1/2018,F170-C16            ,0,4,                    ,2
11/1/2018,FCUST-C28           ,0,0,                    ,2
11/1/2018,FCUST-C28           ,0,5,                    ,1
11/1/2018,FCUST-C29           ,0,0,                    ,2
11/1/2018,FCUST-C29           ,0,3,                    ,1
11/1/2018,FGRIP-C11           ,0,12,                    ,2
11/1/2018,FGRIP-C11           ,0,12,                    ,1
11/1/2018,HIOC-C34            ,0,0,                    ,2
11/1/2018,HIOC-C34            ,0,0,                    ,1
11/1/2018,F10-C19             ,0,8,                    ,1
11/1/2018,F10-C19             ,0,8,                    ,2
11/2/2018,FG-C10              ,0,13,                    ,2
11/2/2018,FG-C10              ,0,13,                    ,1
11/2/2018,FG-C18              ,0,0,                    ,2
11/2/2018,FG-C18              ,0,7,                    ,1
11/2/2018,FG-C188             ,0,0,                    ,2
11/2/2018,FG-C188             ,0,7,                    ,1
11/2/2018,FB-C21              ,0,12,                    ,1
11/2/2018,FB-C21              ,0,12,                    ,2
11/2/2018,BSLCK-C13           ,0,8,                    ,1
11/2/2018,BSLCK-C13           ,0,8,                    ,2
11/2/2018,BSLCK-C17           ,0,8,                    ,1
11/2/2018,BSLCK-C17           ,0,8,                    ,2
11/2/2018,CONNECTC31          ,0,14,                    ,1
11/2/2018,CONNECTC31          ,0,14,                    ,2
11/2/2018,CONTROL-C2          ,0,6,                    ,1
11/2/2018,CONTROL-C2          ,0,8,                    ,2
11/2/2018,NEXIA-C3            ,0,11,                    ,1
11/2/2018,NEXIA-C3            ,0,11,                    ,2
11/2/2018,TOUCH-C12           ,0,13,                    ,1
11/2/2018,TOUCH-C12           ,0,13,                    ,2
11/2/2018,TOUCH-C14           ,0,0,                    ,1
11/2/2018,TOUCH-C14           ,0,13,                    ,2
11/2/2018,ZIGBEE-C38          ,0,12,                    ,1
11/2/2018,ZIGBEE-C38          ,0,12,                    ,2
11/2/2018,KPD-L-C7            ,0,9,                    ,2
11/2/2018,KPD-L-C7            ,0,9,                    ,1
11/2/2018,KPD-L-C8            ,0,9,                    ,2
11/2/2018,KPD-L-C8            ,0,9,                    ,1
11/2/2018,KPL-C4              ,0,11,                    ,1
11/2/2018,KPL-C4              ,0,11,                    ,2
11/2/2018,KPL-C6              ,0,11,                    ,1
11/2/2018,KPL-C6              ,0,11,                    ,2
11/2/2018,SENSE-C9            ,0,12,                    ,1
11/2/2018,SENSE-C9            ,0,12,                    ,2
11/2/2018,DECO-C24            ,0,10,                    ,2
11/2/2018,DECO-C24            ,0,10,                    ,1
11/2/2018,DECO-C35            ,0,10,                    ,1
11/2/2018,DECO-C35            ,0,10,                    ,2
11/2/2018,F10MTS-C20          ,0,0,                    ,1
11/2/2018,F10MTS-C20          ,0,8,                    ,2
11/2/2018,F10MTS-C27          ,0,8,                    ,1
11/2/2018,F10MTS-C27          ,0,8,                    ,2
11/2/2018,F40-C23             ,0,8,                    ,2
11/2/2018,F40-C23             ,0,8,                    ,1
11/2/2018,F40-C25             ,0,0,                    ,2
11/2/2018,F40-C25             ,0,8,                    ,1
11/2/2018,F40-C26             ,0,8,                    ,2
11/2/2018,F40-C26             ,0,0,                    ,1
11/2/2018,F40-C32             ,0,0,                    ,2
11/2/2018,F40-C32             ,0,8,                    ,1
11/2/2018,F51-C15             ,0,8,                    ,1
11/2/2018,F51-C15             ,0,8,                    ,2
11/2/2018,F51-C22             ,0,8,                    ,1
11/2/2018,F51-C22             ,0,8,                    ,2
11/2/2018,F51-C30             ,0,8,                    ,1
11/2/2018,F51-C30             ,0,0,                    ,2
11/2/2018,F170-C16            ,0,7,                    ,1
11/2/2018,F170-C16            ,0,4,                    ,2
11/2/2018,FCUST-C28           ,0,0,                    ,2
11/2/2018,FCUST-C28           ,0,5,                    ,1
11/2/2018,FCUST-C29           ,0,0,                    ,2
11/2/2018,FCUST-C29           ,0,3,                    ,1
11/2/2018,FGRIP-C11           ,0,12,                    ,2
11/2/2018,FGRIP-C11           ,0,12,                    ,1
11/2/2018,HIOC-C34            ,0,0,                    ,2
11/2/2018,HIOC-C34            ,0,0,                    ,1
11/2/2018,F10-C19             ,0,8,                    ,1
11/2/2018,F10-C19             ,0,8,                    ,2
11/5/2018,FG-C10              ,0,13,                    ,2
11/5/2018,FG-C10              ,0,13,                    ,1
11/5/2018,FG-C18              ,0,0,                    ,2
11/5/2018,FG-C18              ,0,7,                    ,1
11/5/2018,FG-C188             ,0,0,                    ,2
11/5/2018,FG-C188             ,0,7,                    ,1
11/5/2018,FB-C21              ,0,12,                    ,1
11/5/2018,FB-C21              ,0,12,                    ,2
11/5/2018,BSLCK-C13           ,0,8,                    ,1
11/5/2018,BSLCK-C13           ,0,8,                    ,2
11/5/2018,BSLCK-C17           ,0,8,                    ,1
11/5/2018,BSLCK-C17           ,0,8,                    ,2
11/5/2018,CONNECTC31          ,0,14,                    ,1
11/5/2018,CONNECTC31          ,0,14,                    ,2
11/5/2018,CONTROL-C2          ,0,6,                    ,1
11/5/2018,CONTROL-C2          ,0,8,                    ,2
11/5/2018,NEXIA-C3            ,0,11,                    ,1
11/5/2018,NEXIA-C3            ,0,11,                    ,2
11/5/2018,TOUCH-C12           ,0,13,                    ,1
11/5/2018,TOUCH-C12           ,0,13,                    ,2
11/5/2018,TOUCH-C14           ,0,0,                    ,1
11/5/2018,TOUCH-C14           ,0,7,                    ,2
11/5/2018,ZIGBEE-C38          ,0,12,                    ,1
11/5/2018,ZIGBEE-C38          ,0,12,                    ,2
11/5/2018,KPD-L-C7            ,0,9,                    ,2
11/5/2018,KPD-L-C7            ,0,9,                    ,1
11/5/2018,KPD-L-C8            ,0,9,                    ,2
11/5/2018,KPD-L-C8            ,0,9,                    ,1
11/5/2018,KPL-C4              ,0,11,                    ,1
11/5/2018,KPL-C4              ,0,11,                    ,2
11/5/2018,KPL-C6              ,0,11,                    ,1
11/5/2018,KPL-C6              ,0,11,                    ,2
11/5/2018,SENSE-C9            ,0,12,                    ,1
11/5/2018,SENSE-C9            ,0,12,                    ,2
11/5/2018,DECO-C24            ,0,10,                    ,2
11/5/2018,DECO-C24            ,0,10,                    ,1
11/5/2018,DECO-C35            ,0,10,                    ,1
11/5/2018,DECO-C35            ,0,0,                    ,2
11/5/2018,F10MTS-C20          ,0,0,                    ,1
11/5/2018,F10MTS-C20          ,0,8,                    ,2
11/5/2018,F10MTS-C27          ,0,8,                    ,1
11/5/2018,F10MTS-C27          ,0,8,                    ,2
11/5/2018,F40-C23             ,0,8,                    ,2
11/5/2018,F40-C23             ,0,8,                    ,1
11/5/2018,F40-C25             ,0,0,                    ,2
11/5/2018,F40-C25             ,0,8,                    ,1
11/5/2018,F40-C26             ,0,8,                    ,2
11/5/2018,F40-C26             ,0,0,                    ,1
11/5/2018,F40-C32             ,0,8,                    ,2
11/5/2018,F40-C32             ,0,8,                    ,1
11/5/2018,F51-C15             ,0,8,                    ,1
11/5/2018,F51-C15             ,0,8,                    ,2
11/5/2018,F51-C22             ,0,8,                    ,1
11/5/2018,F51-C22             ,0,8,                    ,2
11/5/2018,F51-C30             ,0,8,                    ,1
11/5/2018,F51-C30             ,0,0,                    ,2
11/5/2018,F170-C16            ,0,7,                    ,1
11/5/2018,F170-C16            ,0,4,                    ,2
11/5/2018,FCUST-C28           ,0,0,                    ,2
11/5/2018,FCUST-C28           ,0,5,                    ,1
11/5/2018,FCUST-C29           ,0,0,                    ,2
11/5/2018,FCUST-C29           ,0,3,                    ,1
11/5/2018,FGRIP-C11           ,0,12,                    ,2
11/5/2018,FGRIP-C11           ,0,12,                    ,1
11/5/2018,HIOC-C34            ,0,0,                    ,2
11/5/2018,HIOC-C34            ,0,0,                    ,1
11/5/2018,F10-C19             ,0,8,                    ,1
11/5/2018,F10-C19             ,0,8,                    ,2
11/6/2018,FG-C10              ,0,13,                    ,2
11/6/2018,FG-C10              ,0,13,                    ,1
11/6/2018,FG-C18              ,0,0,                    ,2
11/6/2018,FG-C18              ,0,7,                    ,1
11/6/2018,FG-C188             ,0,0,                    ,2
11/6/2018,FG-C188             ,0,7,                    ,1
11/6/2018,FB-C21              ,0,12,                    ,1
11/6/2018,FB-C21              ,0,12,                    ,2
11/6/2018,BSLCK-C13           ,0,8,                    ,1
11/6/2018,BSLCK-C13           ,0,8,                    ,2
11/6/2018,BSLCK-C17           ,0,8,                    ,1
11/6/2018,BSLCK-C17           ,0,8,                    ,2
11/6/2018,CONNECTC31          ,0,14,                    ,1
11/6/2018,CONNECTC31          ,0,14,                    ,2
11/6/2018,CONTROL-C2          ,0,6,                    ,1
11/6/2018,CONTROL-C2          ,0,8,                    ,2
11/6/2018,NEXIA-C3            ,0,11,                    ,1
11/6/2018,NEXIA-C3            ,0,11,                    ,2
11/6/2018,TOUCH-C12           ,0,13,                    ,1
11/6/2018,TOUCH-C12           ,0,13,                    ,2
11/6/2018,TOUCH-C14           ,0,0,                    ,1
11/6/2018,TOUCH-C14           ,0,7,                    ,2
11/6/2018,ZIGBEE-C38          ,0,12,                    ,1
11/6/2018,ZIGBEE-C38          ,0,12,                    ,2
11/6/2018,KPD-L-C7            ,0,9,                    ,2
11/6/2018,KPD-L-C7            ,0,9,                    ,1
11/6/2018,KPD-L-C8            ,0,9,                    ,2
11/6/2018,KPD-L-C8            ,0,9,                    ,1
11/6/2018,KPL-C4              ,0,11,                    ,1
11/6/2018,KPL-C4              ,0,11,                    ,2
11/6/2018,KPL-C6              ,0,11,                    ,1
11/6/2018,KPL-C6              ,0,11,                    ,2
11/6/2018,SENSE-C9            ,0,12,                    ,1
11/6/2018,SENSE-C9            ,0,12,                    ,2
11/6/2018,DECO-C24            ,0,10,                    ,2
11/6/2018,DECO-C24            ,0,10,                    ,1
11/6/2018,DECO-C35            ,0,10,                    ,1
11/6/2018,DECO-C35            ,0,0,                    ,2
11/6/2018,F10MTS-C20          ,0,0,                    ,1
11/6/2018,F10MTS-C20          ,0,8,                    ,2
11/6/2018,F10MTS-C27          ,0,8,                    ,1
11/6/2018,F10MTS-C27          ,0,8,                    ,2
11/6/2018,F40-C23             ,0,8,                    ,2
11/6/2018,F40-C23             ,0,8,                    ,1
11/6/2018,F40-C25             ,0,0,                    ,2
11/6/2018,F40-C25             ,0,8,                    ,1
11/6/2018,F40-C26             ,0,8,                    ,2
11/6/2018,F40-C26             ,0,0,                    ,1
11/6/2018,F40-C32             ,0,8,                    ,2
11/6/2018,F40-C32             ,0,8,                    ,1
11/6/2018,F51-C15             ,0,8,                    ,1
11/6/2018,F51-C15             ,0,8,                    ,2
11/6/2018,F51-C22             ,0,8,                    ,1
11/6/2018,F51-C22             ,0,8,                    ,2
11/6/2018,F51-C30             ,0,8,                    ,1
11/6/2018,F51-C30             ,0,0,                    ,2
11/6/2018,F170-C16            ,0,7,                    ,1
11/6/2018,F170-C16            ,0,4,                    ,2
11/6/2018,FCUST-C28           ,0,0,                    ,2
11/6/2018,FCUST-C28           ,0,5,                    ,1
11/6/2018,FCUST-C29           ,0,0,                    ,2
11/6/2018,FCUST-C29           ,0,3,                    ,1
11/6/2018,FGRIP-C11           ,0,12,                    ,2
11/6/2018,FGRIP-C11           ,0,12,                    ,1
11/6/2018,HIOC-C34            ,0,0,                    ,2
11/6/2018,HIOC-C34            ,0,0,                    ,1
11/6/2018,F10-C19             ,0,8,                    ,1
11/6/2018,F10-C19             ,0,8,                    ,2
11/7/2018,FG-C10              ,0,13,                    ,2
11/7/2018,FG-C10              ,0,13,                    ,1
11/7/2018,FG-C18              ,0,0,                    ,2
11/7/2018,FG-C18              ,0,7,                    ,1
11/7/2018,FG-C188             ,0,0,                    ,2
11/7/2018,FG-C188             ,0,7,                    ,1
11/7/2018,FB-C21              ,0,12,                    ,1
11/7/2018,FB-C21              ,0,12,                    ,2
11/7/2018,BSLCK-C13           ,0,8,                    ,1
11/7/2018,BSLCK-C13           ,0,8,                    ,2
11/7/2018,BSLCK-C17           ,0,8,                    ,1
11/7/2018,BSLCK-C17           ,0,8,                    ,2
11/7/2018,CONNECTC31          ,0,14,                    ,1
11/7/2018,CONNECTC31          ,0,14,                    ,2
11/7/2018,CONTROL-C2          ,0,6,                    ,1
11/7/2018,CONTROL-C2          ,0,8,                    ,2
11/7/2018,NEXIA-C3            ,0,11,                    ,1
11/7/2018,NEXIA-C3            ,0,11,                    ,2
11/7/2018,TOUCH-C12           ,0,13,                    ,1
11/7/2018,TOUCH-C12           ,0,13,                    ,2
11/7/2018,TOUCH-C14           ,0,0,                    ,1
11/7/2018,TOUCH-C14           ,0,7,                    ,2
11/7/2018,ZIGBEE-C38          ,0,12,                    ,1
11/7/2018,ZIGBEE-C38          ,0,12,                    ,2
11/7/2018,KPD-L-C7            ,0,9,                    ,2
11/7/2018,KPD-L-C7            ,0,9,                    ,1
11/7/2018,KPD-L-C8            ,0,9,                    ,2
11/7/2018,KPD-L-C8            ,0,9,                    ,1
11/7/2018,KPL-C4              ,0,11,                    ,1
11/7/2018,KPL-C4              ,0,11,                    ,2
11/7/2018,KPL-C6              ,0,11,                    ,1
11/7/2018,KPL-C6              ,0,11,                    ,2
11/7/2018,SENSE-C9            ,0,12,                    ,1
11/7/2018,SENSE-C9            ,0,12,                    ,2
11/7/2018,DECO-C24            ,0,10,                    ,2
11/7/2018,DECO-C24            ,0,10,                    ,1
11/7/2018,DECO-C35            ,0,10,                    ,1
11/7/2018,DECO-C35            ,0,0,                    ,2
11/7/2018,F10MTS-C20          ,0,0,                    ,1
11/7/2018,F10MTS-C20          ,0,8,                    ,2
11/7/2018,F10MTS-C27          ,0,8,                    ,1
11/7/2018,F10MTS-C27          ,0,8,                    ,2
11/7/2018,F40-C23             ,0,8,                    ,2
11/7/2018,F40-C23             ,0,8,                    ,1
11/7/2018,F40-C25             ,0,0,                    ,2
11/7/2018,F40-C25             ,0,8,                    ,1
11/7/2018,F40-C26             ,0,8,                    ,2
